Melyik volt Koncz Zsuzsa els‹ ”n ll¢ nagy sl gere?;Sz‹ke Anni ballad ja;Rohan az id‹;Sz¡nes ceruz k;Kis vir g;A;ZENE
Kiknek az ‚rdekeit k‚pviseli az UNICEF?;szakszervezetek;gyerekek; llatv‚d‹k;dolgoz¢k;B;µLTALµNOS
Mi volt a neve Paulina szerelm‚nek, Carlitos ‚desapj nak a Paula ‚s Paulina c¡mû sorozatban?;Paulinho;Carlos Daniel;Rodrigo;Zorro;B;µLTALµNOS
"Melyik h¡res popszt r sl gerei voltak a ""Bad"" illetve a ""Black Or White""?";Michael Jackson;Rod Stewart;George Michael;Elton John;A;ZENE
Ki az a h¡res amerikai kos rlabda-j t‚kos, aki az RTL Klub Zsoldosok c¡mû sorozat ban szerepel?;Jordan;Barkley;Rodman;Pippen;C;SPORT
Ki kompon lta a West Side Story c¡mû musical zen‚j‚t?;George Gershwin;Leonard Bernstein;Maurice Ravel;Nino Rota;B;ZENE
Melyik orsz g vall si ‚s politikai vezet‹je volt Komeini ajatollah?;Jord nia;Ir n;Irak;Sza£d-Ar bia;B;T™RTNELEM
Melyik v rosban l”tt‚k le John Lennont?;Los Angelesben;Londonban;New Yorkban;Liverpoolban;C;ZENE
Mi a s”rbet?;barnas”r-fajta;s”rt‚szta;s¢s s”rkorcsolya;‚des gym”lcsl‚;D;KONYHA
Mi Alb nia p‚nzneme?;leva;lej;lek;lwei;C;ORSZµGOK
Mivel tart¢s¡tanak a kand¡roz s sor n?;s¢val;ecettel;cukorral;szesszel;C;KONYHA
"Melyik Verdi-oper ban hangzik el ""Az asszony ingatag"" kezdetû  ria?";Otello;Don Carlos;Rigoletto;Traviata;C;OPERA
Kik k‚sz¡tettek el‹sz”r szak¢c t?;a fav g¢ c‚h inasai;az ‹semberek;a bakonyi bety rok;az apacsok;B;T™RTNELEM
Melyik orsz got nem ‚rinti a Duna?;Bulg ri t;Szlov‚ni t;Horv torsz got;Szlov ki t;B;F™LDRAJZ
"Melyik versben szerepel a ""sehonnai bitang ember""?";Himnusz;Nemzeti dal;Sz¢zat;Pat¢ P l £r;B;IRODALOM
Melyik mad r tud h trafel‚ is replni?;g¢lya;sas;galamb;kolibri;D;BIOLàGIA
Melyik ehet‹ r‚sz‚‚rt termesztik a brokkolit?;a sz r ‚rt;a level‚‚rt;a vir gzat ‚rt;a gy”k‚rt”rzs‚‚rt;C;KONYHA
Kinek a teremt‚s‚t  br zolja a Sixtus-k polna mennyezetfresk¢ja?;µd m;J kob;J¢zsef;No‚;A;VALLµS
Mi ‚rdekli azt az embert aki majolik kr¢l olvas?;a fûszerek;egy j t‚k;a b bmûv‚szet;a cser‚ped‚nyek;D;NYELV
Az al bbi hozz val¢k k”zl melyik nem kell a borscsba?;uborka;c‚kla;k poszta;paradicsom;A;KONYHA
Milyen gyûjtem‚ny a herb rium?;n”v‚ny;lepke;b‚lyeg;‚rme;A;NYELV
Ki volt az Omega egyttes els‹ dobosa?;Solti J nos;Debreceni Ferenc;Laux J¢zsef;N‚meth Oszk r;C;ZENE
Melyik nem n”v‚ny az al bbiak k”zl?;bogl rka;gy”ngyvir g;tiszavir g;csombor;C;BIOLàGIA
Az al bbiak k”zl melyiket nevezik bricsk nak?;vitorl s haj¢t;lovas kocsit;zsebk‚st;t‚rdnadr got;B;NYELV
Melyik fa levele l that¢ Kanada c¡mer‚ben?;juhar;t”lgy;gyerty n;ny¡r;A;ORSZµGOK
Melyik hangszer mûv‚sze volt R cz Alad r?;cimbalom;citera;cseleszta;klarin‚t;A;OPERA
Melyik orsz gban uralkodott a Napkir ly?;Franciaorsz g;Oroszorsz g;Ausztria;Spanyolorsz g;A;T™RTNELEM
