Ki volt a gyermekorvostan els‹ tan ra haz nkban?;id. B¢kay J nos;Heim P l;Sch”pf-M‚rei µgoston;Kor nyi S ndor;A;BIOLàGIA
Ki minden id‹k legfiatalabb wimbledoni f‚rfi teniszbajnoka?;Pete Sampras;Bj”rn Borg;Stefan Edberg;Boris Becker;D;SPORT
Melyik orsz gban tal lhat¢ a Szent Andr s-t”r‚svonal?;Ausztr lia;USA;Mexik¢;Kanada;B;F™LDRAJZ
Minek a r”vid¡t‚se az MTK?;Magyar Testnevel‚si Klub;Magyar Testgyakorl¢k K”re;Magyar Torna Klub;Magyar Torn szok K”re;B;SPORT
Melyik volt az Ill‚s egyttes els‹ nagylemeze?;Ill‚sek ‚s pofonok;Add a kezed!;Neh‚z az £t;Ne s¡rjatok l nyok!;C;ZENE
Mi volt a neve annak a haj¢nak, amely fed‚lzet‚re vette a Titanic t£l‚l‹it?;Eritrea;Carpathia;Lusitania;Aurora;B;µLTALµNOS
Mi Z mb¢ Jimmy eredeti keresztneve?;J¢zsef;Istv n;Imre;J nos;C;ZENE
Milyen term‚kk‚nt hozt k el‹sz”r forgalomba Eur¢p ban a kaucsukot?;ker‚kp r-abroncsk‚nt;rad¡rk‚nt;h‹szigetel‹k‚nt;¢vszerk‚nt;B;TECHNIKA
Milyen az £tsz‚l T¢th µrp d µprilisi capriccio c¡mû vers‚ben?;es‹ ztatta;napt¢l tzes;csupa pitypang;mad rdalt¢l hangos;C;IRODALOM
H nyas sz m£ mezt viselte Pusk s ™csi az Aranycsapatban?;10-es;9-es;8-as;11-es;A;SPORT
Kit gy‹z”tt le Cornelius Scipio Kr.e. 202-ben a z mai csat ban?;Nagy S ndort;Spartacust;Hannib lt;Dareioszt;C;T™RTNELEM
Melyik v ros h¡res strandja a Copacabana?;Barcelona;Rio de Janeiro;Havanna;Buenos Aires;B;ORSZµGOK
Melyik ”k”lv¡v¢nk nyert ezst‚rmet az 1972-es mncheni olimpi n v lt¢s£lyban?;Kajdi J nos;Ged¢ Gy”rgy;Botos Andr s;Orb n L szl¢;A;SPORT
Mely orsz gban tal lhat¢ a m‚nes‚r‹l h¡res Lipica helys‚g?;Horv torsz g;Szlov‚nia;Ausztria;Szlov kia;B;ORSZµGOK
Milyen sz¡nû ny ron a hermelin bund ja?;fekete;szrke;barna;feh‚r;C;BIOLàGIA
Melyik sz¡ndarab j tsz¢dik a harminc‚ves h bor£ alatt?;Az orleans-i szûz;Az obsitos;Kur zsi mama;F klyal ng;C;IRODALOM
Melyik sport g szakkifejez‚se a fless?;birk¢z s;torna;vitorl z s;v¡v s;D;SPORT
Melyik  llam z szlaja hasonl¡t az Egyeslt µllamok z szlaj ra, de csak egy csillag tal lhat¢ benne?;Lib‚ria;Ausztr lia;Malajzia;Costa Rica;A;ORSZµGOK
Melyik afrikai orsz g dikt tora volt Idi Amin?;Szud n;Kenya;Uganda;K”z‚p-afrikai K”zt rsas g;C;T™RTNELEM
Hol v‚gezte szabades‚s-k¡s‚rleteit Galilei?;a p duai templomban;a mil n¢i d¢mban;a velencei harangtoronyban;a pisai ferde toronyban;D;TUDOMµNY
Melyik  llat tetteti mag t halottnak v‚szhelyzetben?;p vi n;oposszum;ugr¢eg‚r;gekk¢;B;BIOLàGIA
Hol ¡rta al  szeptember elej‚n a jap n kld”tts‚g a kapitul ci¢s okm nyokat?;a Lincoln hadihaj¢n;a Missouri hadihaj¢n;Pearl Harborban;Okinava sziget‚n;B;T™RTNELEM
